trade_licence_no,business_name,proprietor_name,trade_category,business_address,ward_name,ward_no,pin_code,pan,gstin,mobile,email,licence_issue_date,licence_expiry_date,licence_status,num_employees,annual_turnover
BBMP/560100/0001,Rubber Karnataka Pvt Ltd,Ramesh Nair,FACTORY,"779/2, Industrial Road, Electronic City Phase 1, Bengaluru, B'lore",Electronic City Phase 1,154,560100,NSCFT4462Z,29NSCFT4462Z7ZD,9809279383,,2004-07-26,2027-07-26,ACTIVE,188,14044398.0
BBMP/560100/0003,Electronics Southern Works,Suresh Nair,PRINTING,"Cross Road, Bommanahalli, Bengaluru, B'lore",Bommanahalli,49,560100,CLCFJ6314Z,29CLCFJ6314Z4ZS,,,2001-09-03,2027-09-03,ACTIVE,787,47159174.0
BBMP/560058/0004,Wipro Engineering Pvt Ltd,Suresh Rao,PRINTING,"179/3, 1st Cross, Peenya, Bengaluru, B'lore",Peenya,80,560058,WIMCH8181C,,9504773040,,1997-03-22,2027-03-22,ACTIVE,413,49452461.0
BBMP/560058/0005,Southern Packaging & Co,Ramesh Reddy,GARMENT,"236/5, Ring Road, Peenya 1st Stage, Bengaluru, 560058",Peenya 1st Stage,142,560058,QIWCX3777M,29QIWCX3777M2ZS,9375106124,,2015-11-26,2027-11-26,ACTIVE,76,5807242.0
BBMP/560058/0007,Janatha Motors Mfg,Suresh Kumar,FACTORY,"480/9, 3rd Main, Rajajinagar Industrial Estate, Bengaluru, 560058",Rajajinagar Industrial Estate,143,560058,TVPAJ2013S,,,,2003-07-22,2027-07-22,SUSPENDED,383,15173306.0
BBMP/560058/0008,Motors Infosys Private Limited,Anitha Reddy,FACTORY,"132/3, 2nd Cross, BEL Road, Bengaluru, B'lore",BEL Road,147,560058,KYEFI2486F,29KYEFI2486F8ZU,,,2006-12-28,2027-12-28,ACTIVE,549,40903698.0
BBMP/560058/0010,Venkateshwara Paints Enterprises,Anitha Rao,FACTORY,"743/3, Cross Road, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,64,560058,OANCM1876Y,29OANCM1876Y3ZL,9969116815,,1995-11-20,2027-11-20,ACTIVE,645,20902960.0
BBMP/560058/0013,Indian Electronics Co,Suresh Rao,FOOD,"1st Cross, Peenya Industrial Area, Bengaluru, 560058",Peenya Industrial Area,170,560058,,,,,2009-04-19,2027-04-19,ACTIVE,410,42868564.0
BBMP/560058/0014,Southern Rubber Pvt. Ltd.,Suresh Reddy,PHARMA,"Industrial Road, Yeshwanthpur, Bengaluru, 560058",Yeshwanthpur,99,560058,LFUPE4816F,29LFUPE4816F9ZY,9358240188,,2013-05-12,2027-05-12,ACTIVE,542,36540176.0
BBMP/560058/0016,Shree Packaging Enterp,Suresh Rao,FACTORY,"158/2, Service Road, Peenya, Bengaluru, B'lore",Peenya,104,560058,,,9338498626,,2014-05-21,2027-05-21,SUSPENDED,356,32321975.0
BBMP/560100/0017,Valves New & Co,Rajesh Kumar,FACTORY,"3rd Main, Hosur Road, Bengaluru, 560100",Hosur Road,16,560100,IIDHQ2923D,29IIDHQ2923D5ZF,9814205650,,2013-07-20,2027-07-20,CANCELLED,460,37970310.0
